date,open,high,low,close,volume
2023-12-14 15:45:00+05:30,77994,77994,77994,77994,0
2023-12-14 16:00:00+05:30,77994,77994,77994,77994,0
2023-12-14 16:15:00+05:30,77994,77994,77994,77994,0
2023-12-14 16:30:00+05:30,77994,77994,77994,77994,0
2023-12-14 16:45:00+05:30,77994,77994,77994,77994,0
2023-12-14 17:00:00+05:30,77994,77994,77994,77994,0
2023-12-14 17:15:00+05:30,77994,77994,77994,77994,0
2023-12-14 17:30:00+05:30,77994,77994,77994,77994,0
2023-12-14 17:45:00+05:30,77994,77994,77994,77994,0
2023-12-14 18:00:00+05:30,77994,77994,77994,77994,0
2023-12-14 18:15:00+05:30,77994,77994,77994,77994,0
2023-12-14 18:30:00+05:30,77994,77994,77994,77994,0
2023-12-14 18:45:00+05:30,77994,77994,77994,77994,0
2023-12-14 19:00:00+05:30,77994,77994,77994,77994,0
2023-12-14 19:15:00+05:30,77994,77994,77000,77000,1
2023-12-14 19:30:00+05:30,77000,77000,77000,77000,0
2023-12-14 19:45:00+05:30,77000,77000,77000,77000,0
2023-12-14 20:00:00+05:30,77000,77000,77000,77000,0
2023-12-14 20:15:00+05:30,77000,77000,77000,77000,0
2023-12-14 20:30:00+05:30,77000,77000,77000,77000,0
2023-12-14 20:45:00+05:30,77000,78000,77000,78000,2
2023-12-14 21:00:00+05:30,78000,78000,78000,78000,0
2023-12-14 21:15:00+05:30,78000,78000,77850,77850,2
2023-12-14 21:30:00+05:30,77850,77850,77850,77850,0
2023-12-14 21:45:00+05:30,77850,77850,77850,77850,0
2023-12-14 22:00:00+05:30,77850,77850,77850,77850,0
2023-12-14 22:15:00+05:30,77850,77850,77850,77850,0
2023-12-14 22:30:00+05:30,77850,77850,77850,77850,0
2023-12-14 22:45:00+05:30,77850,77850,77850,77850,0
2023-12-14 23:00:00+05:30,77850,77850,77850,77850,0
2023-12-14 23:15:00+05:30,77850,77850,77850,77850,0
2023-12-14 23:30:00+05:30,77850,77850,77850,77850,0
2023-12-14 23:45:00+05:30,77850,77850,77850,77850,0
2023-12-15 09:00:00+05:30,77994,77994,77994,77994,0
2023-12-15 09:45:00+05:30,76196,76196,76196,76196,0
2023-12-15 10:00:00+05:30,76196,76196,76196,76196,0
2023-12-15 10:15:00+05:30,76196,76196,76196,76196,0
2023-12-15 10:30:00+05:30,76196,76196,76196,76196,0
2023-12-15 10:45:00+05:30,76196,76196,76196,76196,0
2023-12-15 11:00:00+05:30,76196,76196,76196,76196,0
2023-12-15 11:15:00+05:30,76196,76196,76196,76196,0
2023-12-15 11:30:00+05:30,76196,76196,76196,76196,0
2023-12-15 11:45:00+05:30,76196,76196,76196,76196,0
2023-12-15 12:00:00+05:30,76196,76673,76196,76673,1
2023-12-15 12:15:00+05:30,76673,76673,76673,76673,0
2023-12-15 12:30:00+05:30,76673,76673,76673,76673,0
2023-12-15 12:45:00+05:30,76673,76673,76673,76673,0
2023-12-15 13:00:00+05:30,76673,76673,76673,76673,0
2023-12-15 13:15:00+05:30,76673,76673,76673,76673,0
2023-12-15 13:30:00+05:30,76673,76673,76673,76673,0
2023-12-15 13:45:00+05:30,76673,76673,76673,76673,0
2023-12-15 14:00:00+05:30,76673,76673,76673,76673,0
2023-12-15 14:15:00+05:30,76673,76673,76673,76673,0
2023-12-15 14:30:00+05:30,76673,76673,76673,76673,0
2023-12-15 14:45:00+05:30,76673,76673,76673,76673,0
2023-12-15 15:00:00+05:30,76673,76673,76673,76673,0
2023-12-15 15:15:00+05:30,76673,76673,76673,76673,0
2023-12-15 15:30:00+05:30,76673,76673,76673,76673,0
2023-12-15 15:45:00+05:30,76673,76673,76673,76673,0
2023-12-15 16:00:00+05:30,76673,76673,76673,76673,0
2023-12-15 16:15:00+05:30,76673,76673,76673,76673,0
2023-12-15 16:30:00+05:30,76673,76673,76673,76673,0
2023-12-15 16:45:00+05:30,76673,76673,76673,76673,0
2023-12-15 17:00:00+05:30,76673,76673,76673,76673,0
2023-12-15 17:15:00+05:30,76673,76673,76673,76673,0
2023-12-15 17:30:00+05:30,76673,76673,76673,76673,0
2023-12-15 17:45:00+05:30,76673,76673,76673,76673,0
2023-12-15 18:00:00+05:30,76673,76673,76673,76673,0
2023-12-15 18:15:00+05:30,76673,76673,76673,76673,0
2023-12-15 18:30:00+05:30,76673,76673,76673,76673,0
2023-12-15 18:45:00+05:30,76673,76673,76673,76673,0
2023-12-15 19:00:00+05:30,76673,76673,76673,76673,0
2023-12-15 19:15:00+05:30,76673,76673,76673,76673,0
2023-12-15 19:30:00+05:30,76673,77987,76673,77987,1
2023-12-15 19:45:00+05:30,77987,77987,77987,77987,0
2023-12-15 20:00:00+05:30,77987,77987,77987,77987,0
2023-12-15 20:15:00+05:30,77987,77987,77987,77987,0
2023-12-15 20:30:00+05:30,77987,77987,77987,77987,0
2023-12-15 20:45:00+05:30,77987,77987,77987,77987,0
2023-12-15 21:00:00+05:30,77987,77987,77987,77987,0
2023-12-15 21:15:00+05:30,77987,77987,77987,77987,0
2023-12-15 21:30:00+05:30,77987,77987,77948,77948,1
2023-12-15 21:45:00+05:30,77948,77948,77948,77948,0
2023-12-15 22:00:00+05:30,77948,77948,77948,77948,0
2023-12-15 22:15:00+05:30,77948,77948,77948,77948,0
2023-12-15 22:30:00+05:30,77948,77948,77948,77948,0
2023-12-15 22:45:00+05:30,77948,77948,77948,77948,0
2023-12-15 23:00:00+05:30,77948,77948,77948,77948,0
2023-12-15 23:15:00+05:30,77948,77948,77948,77948,0
2023-12-15 23:30:00+05:30,77948,77948,77948,77948,0
2023-12-15 23:45:00+05:30,77948,77948,77948,77948,0
2023-12-18 09:00:00+05:30,76196,76196,76196,76196,0
2023-12-18 09:15:00+05:30,77250,77250,77250,77250,0
2023-12-18 09:30:00+05:30,77250,77250,77250,77250,0
2023-12-18 09:45:00+05:30,77250,77250,77250,77250,0
2023-12-18 10:00:00+05:30,77250,77250,77250,77250,0
2023-12-18 10:15:00+05:30,77250,77250,77250,77250,0
2023-12-18 10:30:00+05:30,77250,77250,77250,77250,0
2023-12-18 10:45:00+05:30,77250,78355,77250,78355,1
2023-12-18 11:00:00+05:30,78355,78355,77394,77394,1
2023-12-18 11:15:00+05:30,77394,77394,77394,77394,0
2023-12-18 11:30:00+05:30,77394,77394,77394,77394,0
2023-12-18 11:45:00+05:30,77394,77394,77394,77394,0
2023-12-18 12:00:00+05:30,77394,77394,77394,77394,0
2023-12-18 12:15:00+05:30,77394,77394,77394,77394,0
2023-12-18 12:30:00+05:30,77394,77394,77394,77394,0
2023-12-18 12:45:00+05:30,77394,77394,77394,77394,0
2023-12-18 13:00:00+05:30,77394,77394,77394,77394,0
2023-12-18 13:15:00+05:30,77394,77394,77394,77394,0
2023-12-18 13:30:00+05:30,77394,77394,77394,77394,0
2023-12-18 13:45:00+05:30,77394,77394,77394,77394,0
2023-12-18 14:00:00+05:30,77394,77394,77394,77394,0
2023-12-18 14:15:00+05:30,77394,77394,77394,77394,0
2023-12-18 14:30:00+05:30,77394,77394,77394,77394,0
2023-12-18 14:45:00+05:30,77394,78597,77394,77532,1
2023-12-18 15:00:00+05:30,77532,78446,77532,78446,1
2023-12-18 15:15:00+05:30,78446,78446,78446,78446,0
2023-12-18 15:30:00+05:30,78446,78446,78446,78446,0
2023-12-18 15:45:00+05:30,78446,78446,78446,78446,0
2023-12-18 16:00:00+05:30,78446,78446,78446,78446,0
2023-12-18 16:15:00+05:30,78446,78446,78446,78446,0
2023-12-18 16:30:00+05:30,78446,78446,78446,78446,0
2023-12-18 16:45:00+05:30,78446,78446,78446,78446,0
2023-12-18 17:00:00+05:30,78446,78446,78446,78446,0
2023-12-18 17:15:00+05:30,78446,78446,78446,78446,0
2023-12-18 17:30:00+05:30,78446,78446,78446,78446,0
2023-12-18 17:45:00+05:30,78446,78446,78446,78446,0
2023-12-18 18:00:00+05:30,78446,78446,78446,78446,0
2023-12-18 18:15:00+05:30,78446,78446,78446,78446,0
2023-12-18 18:30:00+05:30,78446,78446,78446,78446,0
2023-12-18 18:45:00+05:30,78446,78446,78446,78446,0
2023-12-18 19:00:00+05:30,78446,78446,78446,78446,0
2023-12-18 19:15:00+05:30,78446,78446,78446,78446,0
2023-12-18 19:30:00+05:30,78446,78446,78446,78446,0
2023-12-18 19:45:00+05:30,78446,78446,78446,78446,0
2023-12-18 20:00:00+05:30,78446,78446,78446,78446,0
2023-12-18 20:15:00+05:30,78446,78446,78446,78446,0
2023-12-18 20:30:00+05:30,78446,78446,78446,78446,0
2023-12-18 20:45:00+05:30,78446,78446,78446,78446,0
2023-12-18 21:00:00+05:30,78446,78446,77300,77300,2
2023-12-18 21:15:00+05:30,77300,77300,77300,77300,0
2023-12-18 21:30:00+05:30,77300,77300,77300,77300,0
2023-12-18 21:45:00+05:30,77300,77300,77300,77300,0
2023-12-18 22:00:00+05:30,77300,77300,77300,77300,0
2023-12-18 22:15:00+05:30,77300,77300,77300,77300,0
2023-12-18 22:30:00+05:30,77300,77300,77300,77300,0
2023-12-18 22:45:00+05:30,77300,77976,77300,77900,2
2023-12-18 23:00:00+05:30,77900,77900,77900,77900,0
2023-12-18 23:15:00+05:30,77900,77900,77900,77900,0
2023-12-18 23:30:00+05:30,77900,77900,77900,77900,0
2023-12-18 23:45:00+05:30,77900,77900,77900,77900,0
2023-12-19 09:00:00+05:30,77250,77250,77250,77250,0
2023-12-19 20:00:00+05:30,77850,77850,77850,77850,0
2023-12-19 20:15:00+05:30,77850,77850,77850,77850,0
2023-12-19 20:30:00+05:30,77850,77905,77850,77905,1
2023-12-19 20:45:00+05:30,77905,77905,77905,77905,0
2023-12-19 21:00:00+05:30,77905,77905,77905,77905,0
2023-12-19 21:15:00+05:30,77905,77905,77905,77905,0
2023-12-19 21:30:00+05:30,77905,77905,77905,77905,0
2023-12-19 21:45:00+05:30,77905,77905,77905,77905,0
2023-12-19 22:00:00+05:30,77905,77905,77905,77905,0
2023-12-19 22:15:00+05:30,77905,77905,77905,77905,0
2023-12-19 22:30:00+05:30,77905,77905,77905,77905,0
2023-12-19 22:45:00+05:30,77905,77905,77905,77905,0
2023-12-19 23:00:00+05:30,77905,77905,77905,77905,0
2023-12-19 23:15:00+05:30,77905,77905,77905,77905,0
2023-12-19 23:30:00+05:30,77905,77905,77905,77905,0
2023-12-19 23:45:00+05:30,77905,77905,77905,77905,0
2023-12-20 09:00:00+05:30,77878,77878,77878,77878,0
2023-12-20 09:15:00+05:30,77878,77878,77668,77668,1
2023-12-20 09:30:00+05:30,77668,77668,77668,77668,0
2023-12-20 09:45:00+05:30,77668,77668,77668,77668,0
2023-12-20 10:00:00+05:30,77668,77668,77668,77668,0
2023-12-20 10:15:00+05:30,77668,77668,77668,77668,0
2023-12-20 10:30:00+05:30,77668,77668,77668,77668,0
2023-12-20 10:45:00+05:30,77668,77668,77668,77668,0
2023-12-20 11:00:00+05:30,77668,77668,77668,77668,0
2023-12-20 11:15:00+05:30,77668,77981,77668,77981,1
2023-12-20 11:30:00+05:30,77981,77981,77981,77981,0
2023-12-20 11:45:00+05:30,77981,77981,77981,77981,0
2023-12-20 12:00:00+05:30,77981,77981,77981,77981,0
2023-12-20 12:15:00+05:30,77981,77981,77981,77981,0
2023-12-20 12:30:00+05:30,77981,77981,77981,77981,0
2023-12-20 12:45:00+05:30,77981,77981,77981,77981,0
2023-12-20 13:00:00+05:30,77981,77981,77981,77981,0
2023-12-20 13:15:00+05:30,77981,77989,77981,77989,1
2023-12-20 13:30:00+05:30,77989,77989,77989,77989,0
2023-12-20 13:45:00+05:30,77989,77989,77989,77989,0
2023-12-20 14:00:00+05:30,77989,77989,77989,77989,0
2023-12-20 14:15:00+05:30,77989,77989,77989,77989,0
2023-12-20 14:30:00+05:30,77989,77989,77989,77989,0
2023-12-20 14:45:00+05:30,77989,77989,77989,77989,0
2023-12-20 15:00:00+05:30,77989,77989,77989,77989,0
2023-12-20 15:15:00+05:30,77989,77989,77989,77989,0
2023-12-20 15:30:00+05:30,77989,77989,77989,77989,0
2023-12-20 15:45:00+05:30,77989,77989,77989,77989,0
2023-12-20 16:00:00+05:30,77989,77989,77900,77900,1
2023-12-20 16:15:00+05:30,77900,77900,77852,77878,3
2023-12-20 16:30:00+05:30,77878,77878,77878,77878,0
2023-12-20 16:45:00+05:30,77878,77878,77878,77878,0
2023-12-20 17:00:00+05:30,77878,77878,77878,77878,0
2023-12-20 17:15:00+05:30,77878,77878,77878,77878,0
2023-12-20 17:30:00+05:30,77878,77878,77878,77878,0
2023-12-20 17:45:00+05:30,77878,77878,77878,77878,0
2023-12-20 18:00:00+05:30,77878,77878,77878,77878,0
2023-12-20 18:15:00+05:30,77878,77878,77878,77878,0
2023-12-20 18:30:00+05:30,77878,77878,77878,77878,0
2023-12-20 18:45:00+05:30,77878,77878,77878,77878,0
2023-12-20 19:00:00+05:30,77878,77878,77878,77878,0
2023-12-20 19:15:00+05:30,77878,78290,77878,78290,3
2023-12-20 19:30:00+05:30,78290,78735,78290,78735,9
2023-12-20 19:45:00+05:30,78735,78735,78368,78535,7
2023-12-20 20:00:00+05:30,78535,78535,78532,78532,2
2023-12-20 20:15:00+05:30,78532,78590,78532,78590,1
2023-12-20 20:30:00+05:30,78590,78590,78482,78482,1
2023-12-20 20:45:00+05:30,78482,78482,78482,78482,0
2023-12-20 21:00:00+05:30,78482,78482,78482,78482,0
2023-12-20 21:15:00+05:30,78482,78482,78482,78482,0
2023-12-20 21:30:00+05:30,78482,78482,78482,78482,0
2023-12-20 21:45:00+05:30,78482,78482,78482,78482,0
2023-12-20 22:00:00+05:30,78482,78482,78482,78482,0
2023-12-20 22:15:00+05:30,78482,78482,78482,78482,0
2023-12-20 22:30:00+05:30,78482,78482,78482,78482,0
2023-12-20 22:45:00+05:30,78482,78501,78482,78490,0
2023-12-20 23:00:00+05:30,78490,78490,78490,78490,0
2023-12-20 23:15:00+05:30,78490,78490,78479,78485,3
2023-12-20 23:30:00+05:30,78485,78485,78485,78485,1
2023-12-20 23:45:00+05:30,78485,78485,78485,78485,0
2023-12-21 09:00:00+05:30,77878,77878,77878,77878,0
2023-12-21 09:30:00+05:30,78614,78614,78614,78614,0
2023-12-21 09:45:00+05:30,78614,78614,78614,78614,0
